Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite_002,Chrome 116.0.0.0,,,2023-09-21 17:45:27,2023-09-21 18:04:26,18m - 59.290s,FAILED
,,,,,,,
Test Cases/TC_001,Chrome 116.0.0.0,,,2023-09-21 17:45:27,2023-09-21 17:45:36,9.016s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-21 17:45:27,2023-09-21 17:45:30,2.376s,PASSED
"navigateToUrl(""https://www.firefox.com/"")",Chrome 116.0.0.0,,,2023-09-21 17:45:30,2023-09-21 17:45:35,5.549s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-21 17:45:35,2023-09-21 17:45:36,0.712s,PASSED
,,,,,,,
Test Cases/TC_0010,Chrome 116.0.0.0,,,2023-09-21 17:45:36,2023-09-21 17:45:45,9.134s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-21 17:45:36,2023-09-21 17:45:38,1.326s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-21 17:45:38,2023-09-21 17:45:43,4.973s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-21 17:45:43,2023-09-21 17:45:44,1.739s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-21 17:45:44,2023-09-21 17:45:45,0.695s,PASSED
,,,,,,,
Test Cases/TC_009,Chrome 116.0.0.0,,,2023-09-21 17:45:45,2023-09-21 17:46:08,22.878s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-21 17:45:46,2023-09-21 17:45:47,1.323s,PASSED
"navigateToUrl(""https://www.yahoo.com/"")",Chrome 116.0.0.0,,,2023-09-21 17:45:47,2023-09-21 17:45:59,11.833s,PASSED
"click(findTestObject(""Object Repository/Page_Yahoo  Mail, Weather, Search, Politics_802e32/a_News""))",Chrome 116.0.0.0,,,2023-09-21 17:45:59,2023-09-21 17:46:07,8.588s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-21 17:46:07,2023-09-21 17:46:08,0.799s,PASSED
,,,,,,,
Test Cases/TC_008,Chrome 116.0.0.0,,,2023-09-21 17:46:08,2023-09-21 17:46:18,9.973s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-21 17:46:08,2023-09-21 17:46:10,1.305s,PASSED
"navigateToUrl(""https://www.zomato.com/"")",Chrome 116.0.0.0,,,2023-09-21 17:46:10,2023-09-21 17:46:17,7.637s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-21 17:46:17,2023-09-21 17:46:18,0.706s,PASSED
,,,,,,,
Test Cases/TC_007,Chrome 116.0.0.0,,,2023-09-21 17:46:18,2023-09-21 17:46:27,9.385s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-21 17:46:18,2023-09-21 17:46:20,1.310s,PASSED
"navigateToUrl(""https://www.swiggy.com/"")",Chrome 116.0.0.0,,,2023-09-21 17:46:20,2023-09-21 17:46:26,6.565s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Order food online from Indias best foo_aa25ef/a_Login""), ""Login"")",Chrome 116.0.0.0,,,2023-09-21 17:46:26,2023-09-21 17:46:27,0.505s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-21 17:46:27,2023-09-21 17:46:27,0.681s,PASSED
,,,,,,,
Test Cases/TC_006,Chrome 116.0.0.0,,,2023-09-21 17:46:27,2023-09-21 17:46:41,13.080s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-21 17:46:28,2023-09-21 17:46:29,1.307s,PASSED
"navigateToUrl(""https://www.google.com/?gws_rd=ssl"")",Chrome 116.0.0.0,,,2023-09-21 17:46:29,2023-09-21 17:46:34,5.144s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_Sign in""))",Chrome 116.0.0.0,,,2023-09-21 17:46:34,2023-09-21 17:46:39,4.823s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Sign in - Google Accounts/button_Forgot email""), ""Forgot email?"")",Chrome 116.0.0.0,,,2023-09-21 17:46:39,2023-09-21 17:46:40,0.773s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-21 17:46:40,2023-09-21 17:46:41,0.707s,PASSED
,,,,,,,
Test Cases/TC_005,Chrome 116.0.0.0,,,2023-09-21 17:46:41,2023-09-21 17:46:50,9.602s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-21 17:46:41,2023-09-21 17:46:42,1.311s,PASSED
"navigateToUrl(""https://www.mailinator.com/"")",Chrome 116.0.0.0,,,2023-09-21 17:46:42,2023-09-21 17:46:48,6.037s,PASSED
"click(findTestObject(""Object Repository/Page_Home - Mailinator/span_Why Mailinator""))",Chrome 116.0.0.0,,,2023-09-21 17:46:48,2023-09-21 17:46:49,1.179s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-21 17:46:49,2023-09-21 17:46:50,0.737s,PASSED
,,,,,,,
Test Cases/TC_004,Chrome 116.0.0.0,,,2023-09-21 17:46:50,2023-09-21 17:46:59,9.193s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-21 17:46:51,2023-09-21 17:46:52,1.337s,PASSED
"navigateToUrl(""https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AYZoVhe63sLu-1TQ0EH5PytlE2GcZOB7TuYqfhYcfxG1KBFhaYtWfhCrBNzSKqfi9jKbo4trIySD&osid=1&passive=1209600&service=mail&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S-2012939348%3A1695296575228269&theme=glif"")",Chrome 116.0.0.0,,,2023-09-21 17:46:52,2023-09-21 17:46:57,5.128s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Gmail/button_Forgot email""))",Chrome 116.0.0.0,,,2023-09-21 17:46:57,2023-09-21 17:46:59,1.636s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-21 17:46:59,2023-09-21 17:46:59,0.718s,PASSED
,,,,,,,
Test Cases/TC_0030,Chrome 116.0.0.0,,,2023-09-21 17:46:59,2023-09-21 17:47:07,7.833s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-21 17:47:00,2023-09-21 17:47:01,1.396s,PASSED
"navigateToUrl(""https://www.mozilla.org/en-US/firefox/new/?redirect_source=firefox-com"")",Chrome 116.0.0.0,,,2023-09-21 17:47:01,2023-09-21 17:47:06,4.645s,PASSED
"click(findTestObject(""Object Repository/Page_Get Firefox for desktop  Mozilla (US)/a_Firefox Browsers""))",Chrome 116.0.0.0,,,2023-09-21 17:47:06,2023-09-21 17:47:06,0.415s,PASSED
"click(findTestObject(""Object Repository/Page_Get Firefox for desktop  Mozilla (US)/h4_Firefox Blog""))",Chrome 116.0.0.0,,,2023-09-21 17:47:06,2023-09-21 17:47:07,0.377s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-21 17:47:07,2023-09-21 17:47:07,0.668s,PASSED
,,,,,,,
Test Cases/TC_003,Chrome 116.0.0.0,,,2023-09-21 17:51:34,2023-09-21 17:52:52,1m - 17.427s,FAILED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-21 17:51:34,2023-09-21 17:51:37,2.157s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-09-21 17:51:37,2023-09-21 17:51:37,0.126s,PASSED
"navigateToUrl(""https://www.uber.com/in/en/"")",Chrome 116.0.0.0,,,2023-09-21 17:51:37,2023-09-21 17:51:42,5.720s,PASSED
"click(findTestObject(""Object Repository/Page_Earn Money by Driving or Get a Ride No_86ddf9/img_Drive or deliver_css-iTMoEO""))",Chrome 116.0.0.0,,,2023-09-21 17:51:42,2023-09-21 17:51:43,0.660s,PASSED
"click(findTestObject(""Object Repository/Page_Earn Money by Driving or Get a Ride No_86ddf9/a_Get started""))",Chrome 116.0.0.0,,,2023-09-21 17:51:43,2023-09-21 17:51:47,3.608s,PASSED
"click(findTestObject(""Object Repository/Page_Rent Out Your Car Through Uber and Ear_fd3df7/a_Sign up""))",Chrome 116.0.0.0,,,2023-09-21 17:51:47,2023-09-21 17:52:27,40.313s,PASSED
"click(findTestObject(""Object Repository/Page_Sign Up to Drive  Uber/a_Sign up now""))",Chrome 116.0.0.0,,,2023-09-21 17:52:27,2023-09-21 17:52:52,24.834s,FAILED
,,,,,,,
